filepath,ground_truth,weak_label,confidence
../data\raw-img\cane\OIF-e2bexWrojgtQnAPPcUfOWQ.jpeg,cane,mucca,0.5002052913713873
../data\raw-img\cane\OIP---A27bIBcUgX1qkbpZOPswHaFS.jpeg,cane,cavallo,0.5014246953884283
../data\raw-img\cane\OIP---cByAiEbIxIAleGo9AqOQAAAA.jpeg,cane,cane,0.811302696591834
../data\raw-img\cane\OIP---ZIdwfUcJeVxnh47zppcQHaFj.jpeg,cane,cane,0.9475527050874069
../data\raw-img\cane\OIP---ZRsOF7zsMqhW30WeF8-AHaFj.jpeg,cane,cane,0.8983036511371981
../data\raw-img\cane\OIP---_cJbI6Ei26w5bW1urHewHaCf.jpeg,cane,scoiattolo,0.3246252324590443
../data\raw-img\cane\OIP--0C2kq6I68beB3DduLoxMgHaEf.jpeg,cane,cane,0.9029420085367357
../data\raw-img\cane\OIP--0CZnfLuBERVtzRm2QbB3gHaK4.jpeg,cane,cane,0.8783791943808822
../data\raw-img\cane\OIP--1QXriWyOTJg-9fEwbznmgHaI4.jpeg,cane,elefante,0.5185955100492734
../data\raw-img\cane\OIP--2uTtzjaszBfEMCROuLN3wHaLH.jpeg,cane,cane,0.8726465747933113
../data\raw-img\cane\OIP--2z_zAuTMzgYM_KynUl9CQHaE7.jpeg,cane,cane,0.9685156747871768
../data\raw-img\cane\OIP--565fkAJy3DoFs81C9uE1QHaEY.jpeg,cane,scoiattolo,0.21131247378607088
../data\raw-img\cane\OIP--6mVvk2SFEi7TxqtyMbdvgHaEK.jpeg,cane,cane,0.8058939566288167
../data\raw-img\cane\OIP--6UY_QQC69uZF4CrwEcfUQHaHa.jpeg,cane,cane,0.8451610324594425
../data\raw-img\cane\OIP--7xBAVJkrjDLNCknR2fuKgHaHa.jpeg,cane,cane,0.8759177789186745
../data\raw-img\cane\OIP--8oCad9Nr69Ol4YEkvXJFQHaNK.jpeg,cane,cane,0.8652327331249156
../data\raw-img\cane\OIP--90_fw5Y28UC44KVSPuxdAHaJ3.jpeg,cane,cane,0.9516784995914201
../data\raw-img\cane\OIP--9pxEn5HUPsqA38ao3O7TgHaGV.jpeg,cane,cane,0.9206719342319893
../data\raw-img\cane\OIP--AzXmxzRD9y3THnVByTtLwHaG5.jpeg,cane,elefante,0.27700608587223063
../data\raw-img\cane\OIP--BKXxWj6jk2y8_PQbxmJ0gHaE9.jpeg,cane,cane,0.8134707459948636
../data\raw-img\cane\OIP--BUglHhzleeaUXxOXNbgRQHaEK.jpeg,cane,cane,0.9739096961464679
../data\raw-img\cane\OIP--cyBTQeGHK_bTaYGIDNn7AHaLE.jpeg,cane,cane,0.9550396070421483
../data\raw-img\cane\OIP--DQsiH-9LglDNlEvJpZQZQHaFw.jpeg,cane,cane,0.8443315171276534
../data\raw-img\cane\OIP--DqSseJFuaBH5t89CubEwAHaE8.jpeg,cane,cane,0.9891458231855083
../data\raw-img\cane\OIP--EJV-0S_RAhDQbtUA8HhoAHaGi.jpeg,cane,cane,0.9947339643022667
../data\raw-img\cane\OIP--GlCH31Wry6Uj4tAHTnIUwHaJv.jpeg,cane,cane,0.9808035460222475
../data\raw-img\cane\OIP--GnTjiWNoY2Djyb3v7WXAgHaE7.jpeg,cane,cane,0.9364748060589189
../data\raw-img\cane\OIP--hIXMAfOrmjSfDzjHHoZmwHaFj.jpeg,cane,cane,0.8298905303297425
../data\raw-img\cane\OIP--HjjWS524SecIyPDEh8GNgHaJ4.jpeg,cane,cane,0.9871118831207217
../data\raw-img\cane\OIP--HP-Jp3xDbJcfnayqlP7GwHaE7.jpeg,cane,cane,0.8501770917881005
../data\raw-img\cane\OIP--hrVyxBHfXGXIpLKB_ld2AHaEK.jpeg,cane,cane,0.8439307894838423
../data\raw-img\cane\OIP--iPPduM2--389E1lozUz_QHaFj.jpeg,cane,cane,0.9602212901504248
../data\raw-img\cane\OIP--ittZIBa1ox84GW8FmIWAwHaGH.jpeg,cane,cane,0.9970289534229584
../data\raw-img\cane\OIP--iVoSrHMWX0IG2rxuA5CsgHaFj.jpeg,cane,cane,0.800839110494671
../data\raw-img\cane\OIP--j4ILLV3OBiP1WFx0l7GiQHaFc.jpeg,cane,cane,0.8322684490242334
../data\raw-img\cane\OIP--jqyES48oZ9OFI3kFadEggHaEk.jpeg,cane,cane,0.9935983579704176
../data\raw-img\cane\OIP--khXa4p9B3QV8JmsHX29hgHaEK.jpeg,cane,cavallo,0.2034240091223759
../data\raw-img\cane\OIP--KlpwG173pm-gl9aWQkm9gHaE8.jpeg,cane,cane,0.951883912622767
../data\raw-img\cane\OIP--L1ZAWylA3UTTMGC0_WF0wHaIA.jpeg,cane,pecora,0.5412038578564418
../data\raw-img\cane\OIP--LafQFfr5Kd-NMLdQYKKNQHaER.jpeg,cane,gatto,0.2749505209237666
../data\raw-img\cane\OIP--lnCqw9ajSJK5CxuFZo2TwHaFb.jpeg,cane,cane,0.9064589900186456
../data\raw-img\cane\OIP--lQutAM-FwDERp0chM2rCgHaE8.jpeg,cane,farfalla,0.5237185353566634
../data\raw-img\cane\OIP--LSF87v0ehcSg4hzc4Qy7QHaE8.jpeg,cane,cane,0.8771230440202208
../data\raw-img\cane\OIP--MffROkglTy0W_sVV_zv3AHaFY.jpeg,cane,ragno,0.5357100147844547
../data\raw-img\cane\OIP--MG1FExhD4u9GX_Vny2QXwHaFj.jpeg,cane,cane,0.8213037890242036
../data\raw-img\cane\OIP--msqs5Bmw4nKoAAq10fZCQHaNd.jpeg,cane,scoiattolo,0.29007728594954985
../data\raw-img\cane\OIP--MZDf-NwE7MF-xL9nqrSgwHaFj.jpeg,cane,cane,0.8576611467644872
../data\raw-img\cane\OIP--mZiyU8uZ1LLjoPmCykXSgHaLO.jpeg,cane,cane,0.8838006220895767
../data\raw-img\cane\OIP--NBX8JVZ8wy9KtVr-cblGgHaJ4.jpeg,cane,elefante,0.5875209549723766
../data\raw-img\cane\OIP--NTohQi3Ctvo0vRUTVNHTQHaFj.jpeg,cane,cane,0.9640751966844702
../data\raw-img\cane\OIP--oBsJIeAn_f5_DI1XJ9O6wHaF7.jpeg,cane,cane,0.9211832090853596
../data\raw-img\cane\OIP--oDUk4AB3XuBQN__83AEjQHaG4.jpeg,cane,cane,0.8131863054801421
../data\raw-img\cane\OIP--OzHmoOBxcUQs7N3KjButwHaFP.jpeg,cane,cane,0.9555135737305503
../data\raw-img\cane\OIP--PIzK8IjlJZpcxJWdgIn_wHaFj.jpeg,cane,cane,0.8777604577652739
../data\raw-img\cane\OIP--PKqX2FCj-4MRkSi78FVcgHaLP.jpeg,cane,mucca,0.46504570224389125
../data\raw-img\cane\OIP--pLfP_C-rvesSFF1tplovAAAAA.jpeg,cane,cane,0.8343086861275414
../data\raw-img\cane\OIP--PRmz0al4Y19jI_RrXnrqQHaIX.jpeg,cane,mucca,0.5281636085815049
../data\raw-img\cane\OIP--qln8OiJUfar32CqdwPYSgHaED.jpeg,cane,cane,0.9197681283567076
../data\raw-img\cane\OIP--RzOJndNB4Agj6qql-XvGAHaH7.jpeg,cane,cane,0.8668066728490026
../data\raw-img\cane\OIP--S-Kzm1iB9TRHF7MpaJL3QHaEm.jpeg,cane,cane,0.8488315168325643
../data\raw-img\cane\OIP--t2FVkxQ6yBY4PR6jC0uLQHaLG.jpeg,cane,cane,0.8789662647043974
../data\raw-img\cane\OIP--tLYXo2whlWi1qlFDmdO7gHaE8.jpeg,cane,cane,0.9568435719818232
../data\raw-img\cane\OIP--TmnIg2PYXYuVEGcljh36wHaE6.jpeg,cane,cane,0.8470698064176412
